ID,bug_type,species,area_ratio,mask_pixels,total_pixels,roundness,ellipse_fit_quality,vertical_symmetry,horizontal_symmetry,min_R,max_R,mean_R,std_R,med_R,min_G,max_G,mean_G,std_G,med_G,min_B,max_B,mean_B,std_B,med_B,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,edge_density
191,Bee,Megachile centuncularis,0.011769375,282465,24000000,0.1507170473491215,0.5969212007371106,0.37845632802053547,0.3925370485402431,5,255,79.30273485210557,45.50559584810389,75.0,5,255,72.77605721062787,44.16331125391191,71.0,1,255,54.56003752677323,35.30209793147851,48.0,0.016260421645159576,0.03724001203688953,0.02815216044465686,0.13660453507514206,0.2066627723788788,0.22872922308958632,0.08191103322535535,0.06971837218770467,0.12752022374453473,0.06720124617209212,0.21693661161559838
192,Other,Polyommatus icarus,0.0324855,779652,24000000,0.1795649468973463,0.7283210973831482,0.3207590639431075,0.5264845814977973,0,255,187.3901869039007,59.43228216609491,215.0,2,255,186.92376727052581,59.43778937148673,212.0,0,255,175.94637222760923,60.31601477920724,192.0,0.02887313827194697,0.052111711378922905,0.043804158778531964,0.13628644574758994,0.24970371396469193,0.18582649694992126,0.08805851841590863,0.06001010707341224,0.0670145141678595,0.08831119525121464,0.4250306547023544
193,Other,Polyommatus icarus,0.041817125,1003611,24000000,0.21478597213848588,0.7084015810647692,0.38591604615912284,0.6518496695020146,10,255,191.34150183686708,56.15907398083645,216.0,8,255,190.0207799635516,57.16336629235379,213.0,5,255,181.39798587301254,57.53008189038813,195.0,0.020854693701045524,0.04553656745492028,0.030690177768079464,0.13092024698812588,0.23422820196271266,0.20466395844605131,0.08925071566573105,0.0651238378216261,0.09290053616391211,0.08583106402779563,0.23111444573644568
194,Bee,Anthidium manicatum,0.022354625,536511,24000000,0.15385795702409907,0.6444887814471397,0.5008014367116758,0.3970767452034248,3,255,143.8417534775615,62.00546944355667,133.0,1,255,110.47514962414564,58.787798411555855,94.0,0,255,110.4971193507682,59.54458732030131,97.0,0.028687203058278394,0.04306342274436125,0.054656847669479286,0.15258028260371176,0.2795618356380391,0.1627571475701337,0.0792733047411889,0.0580938694639998,0.06200059271850903,0.07932549379229877,0.6606313756847483
195,Bee,Anthidium manicatum,0.024717625,593223,24000000,0.23633980594463694,0.7039443799834405,0.5457774187664487,0.5165275399269424,0,255,104.50544736127898,55.26018241159228,91.0,0,255,77.85279228890316,54.03290208585421,61.0,0,255,70.50005141405508,50.47127486495162,55.0,0.031372687842514534,0.0512151416920787,0.054087585949971595,0.1525851155467674,0.24318173772763363,0.16207058728336562,0.08207031757028975,0.0660004753692962,0.06965508754717872,0.08776126347090386,0.5948167889646895
196,Bee,Anthidium manicatum,0.02660525,638526,24000000,0.2545806718672026,0.784315418266815,0.5012943287007103,0.46360952442076886,3,248,90.89539815136737,53.041251138398124,93.0,0,230,55.406790013249264,40.96563613586504,47.0,0,249,80.84584809389125,49.57126277999073,77.0,0.021541800960336775,0.04052301707369786,0.04336706727682193,0.15701005127434123,0.2511769293654448,0.1876493674494069,0.08597613879466146,0.057996072203794366,0.07995445761018345,0.07480509799131124,0.41983881627373043
197,Bee,Anthidium manicatum,0.023532875,564789,24000000,0.1894464491961812,0.5384681971081963,0.390769951200276,0.3637555609851683,0,255,70.34554674400529,54.463434966612915,57.0,0,255,47.20726324344135,42.63557245697926,31.0,0,255,57.570570602472785,50.80194246102847,41.0,0.02214101195313648,0.040165442315625834,0.03449960958871366,0.1316172942461698,0.20397883103247408,0.18859786575163467,0.0800458224221789,0.07329285804079046,0.1497373355359258,0.07592392911335029,0.30781760976222977
198,Bee,Anthidium manicatum,0.02349525,563886,24000000,0.1934646859918856,0.6945671391927538,0.541502981194282,0.27376372602393145,0,255,63.246987866341776,50.86940109117089,53.0,0,255,40.83867838534739,38.728491175495286,27.0,0,255,50.635617837648034,47.04314940589663,34.0,0.023093320281049715,0.04056848370060615,0.035994864210141767,0.13534473280060155,0.19679864369748495,0.18340941254083273,0.07520669071408051,0.07222913851381307,0.16192102659048105,0.07543368695090852,0.32271593903732315
199,Bee,Anthidium manicatum,0.03651925,876462,24000000,0.18930540521166941,0.5965726429019889,0.3974447893697115,0.48753723873406146,0,255,73.69627776218478,52.85636190448513,65.0,0,255,60.292046888513134,47.795556831659894,50.0,0,255,49.69278645280685,47.41897314179945,33.0,0.027385100551991986,0.04837403104755254,0.0453710486022212,0.14582834167368353,0.20364031754942027,0.17717596427454926,0.08215073785286756,0.07028713167256538,0.11261982835536509,0.08716749841978318,0.41452681348421266
200,Bumblebee,Bombus pascuorum,0.028376708333333334,681041,24000000,0.31890065658066424,0.7954410508969428,0.41635505272133605,0.6094464519086928,4,255,140.88776593479687,83.31519714222995,141.0,0,230,74.5688541512185,50.70532370574052,59.0,0,255,91.14109282701041,51.53502893457467,89.0,0.018702251406302998,0.04528214894551136,0.04167003161336836,0.14279022848844636,0.2360988545476704,0.19669153545821763,0.10021716754204225,0.061937533863599986,0.07276948083889223,0.08384076729594842,0.2570506034144787
201,Bumblebee,Bombus lapidarius,0.020289625,486951,24000000,0.1701003871767071,0.6633604465793338,0.45123710295581476,0.4190740411543741,0,255,63.1891360732394,64.62949629182586,40.0,0,207,36.07968563572105,37.04047813066654,19.0,0,234,42.03497682518364,43.64114252310106,26.0,0.014837221814925937,0.040843945284022416,0.02661253390998273,0.13269507609595216,0.18786079092146848,0.2082735223872628,0.09060870600943421,0.07331743851024025,0.1476103345100431,0.07734043055666792,0.1595293982351407
202,Bumblebee,Bombus lapidarius,0.03662225,878934,24000000,0.19916817215347882,0.801561756025886,0.4512099277477644,0.5197609698151769,0,236,81.03563976362275,54.42810172443836,97.0,0,197,61.55434196424305,41.67281630782507,66.0,0,206,58.712988688570476,40.74911421301754,59.0,0.02570272625703409,0.06453044255882694,0.03928622626954925,0.1333524473965053,0.1413894558635802,0.1834779403231642,0.10003026393335564,0.07908671185777316,0.12256437912289204,0.11057940641731916,0.08400289441528033
203,Other,Eristalis,0.06901879166666666,1656451,24000000,0.203435563185935,0.6592911463516362,0.5317638877715112,0.24872014648866694,4,255,116.18697323373888,52.12791120254571,117.0,2,255,105.4775716275338,55.33725761934386,103.0,0,255,81.30301047238946,47.65913661763992,78.0,0.025627682315987613,0.04411057133594655,0.04269127188187275,0.13940949656826554,0.2337696678018245,0.19671756061603995,0.08683565043578108,0.06221373285415627,0.08799173655000962,0.08063262964011612,0.3832567338243027
204,Bumblebee,Bombus hortorum,0.03745425,898902,24000000,0.2381444523557935,0.769509571818965,0.4883173392144007,0.4491106982540018,0,230,50.54562121343595,51.38129345712074,27.0,0,208,44.90806673029986,49.41981511081494,21.0,0,255,47.06847353771602,49.71733150876019,25.0,0.017484664624174827,0.04753020907729653,0.031362706946919686,0.14090412525503337,0.17778133767640966,0.2034515442172784,0.09243054304028693,0.07062616391998237,0.12970490665278306,0.08872379858983516,0.16758556550102235
205,Bumblebee,Bombus hortorum,0.034826875,835845,24000000,0.24737058844972923,0.8818378611193074,0.6406843472064917,0.6194623395495278,0,225,61.39199133810695,49.52138228095746,47.0,0,201,57.789739724470444,49.44539632619843,39.0,0,226,50.09537653512314,45.7237634299383,34.0,0.019599327626533627,0.04992313168111313,0.036040174912812785,0.14634531521992714,0.18861511404626455,0.20158402574640036,0.09420885451249933,0.06549420047975402,0.1084196232555079,0.08977023251918717,0.19113711274219503
206,Bee,Apis mellifera,0.021623041666666665,518953,24000000,0.22877121419532392,0.7221863062067297,0.3918882311762923,0.4439105417798157,15,255,139.82972061053698,54.88564030024654,138.0,0,255,112.52731942969787,48.21922402088206,107.0,0,255,105.3281665198968,54.17174967900742,99.0,0.034249729744312105,0.050486267542532756,0.055610045611066895,0.1399934098078246,0.23489603104712758,0.1656296427614832,0.08916799787263972,0.06487870770570746,0.06929143872373798,0.09579672918356769,0.515649779459797
207,Other,Macroglossum stellatarum,0.0633095,1519428,24000000,0.1715950528652751,0.6008115732749324,0.22255595902573885,0.3300664408203997,13,255,187.23241048605132,55.810176983197444,201.0,11,255,170.20538518442467,53.60535328510341,184.0,10,255,152.6855211303201,48.713515733467695,166.0,0.02540034802570441,0.052943607726065336,0.042045427621447015,0.13114079772124773,0.22349528901665627,0.17909173715371837,0.08758361699271042,0.07213964728832166,0.09936568234888392,0.08679384610524486,0.38033128256159554
208,Other,Macroglossum stellatarum,0.027100666666666665,650416,24000000,0.1597877936062601,0.46029403766788646,0.3363379749624857,0.5641115265610346,19,255,154.78137530442055,45.545000786744296,158.0,17,255,135.69457854665322,49.59630297516832,132.0,13,255,126.91816160734054,54.5889174672709,127.0,0.023784777742244963,0.0458767926988266,0.04015737620230744,0.13858361417923298,0.219825465548203,0.19099007404491894,0.09683187375464318,0.0655442055545989,0.08948888096233795,0.08891693931268603,0.31515214877862785
209,Bumblebee,Bombus hortorum,0.010833,259992,24000000,0.3039084271694767,0.8313771405285957,0.5369318349757335,0.4736018771998436,0,255,64.54610141850519,54.560804418254605,47.0,0,255,56.38186944213668,50.02751342522865,36.0,0,255,42.26043109018739,42.45119908813466,25.0,0.01478891658204868,0.03112788085787255,0.028993199790762793,0.14720452937013448,0.211318040555094,0.2195836794978307,0.06549432290224315,0.06509431059417213,0.16265500476937753,0.053740115080464015,0.30320548324563834
